Woody plant species,Site,Years decayed,Mesh,Sampling side(top / bottom),Extension rate(mm day-1),Mass loss(%),Fungi,10decomposition,16decomposition,22decomposition,decomposition,10extension,16extension,22extension,extension
Celtis occidentalis,2,3,absent,both,13.19,37.4,Armillaria ,4.07,10.21,17.12,8.93,0.3,0.36,0.34,0.33
Celtis occidentalis,2,3,present,both,1.1,29.8,Armillaria,3.2,1.89,15.42,4.54,0.18,0.26,0.38,0.26
Celtis occidentalis,6,3,absent,both,0.92,33,Armillaria,2.94,6.09,11,5.81,0.26,0.24,0.32,0.27
Celtis occidentalis,6,3,present,both,9.9,45.7,Armillaria,3.78,7.23,12.3,6.95,0.16,0.3,0.24,0.23
Celtis occidentalis,7,3,absent,bottom,13.54,49,Armillaria,2.35,5.9,9.2,5.03,0.2,0.24,0.4,0.27
Celtis occidentalis,7,3,present,both,15.41,67.4,Armillaria,2.03,0.11,39.51,2.04,0.14,0.32,0.48,0.28
Fraxinus americana,2,3,absent,bottom,4.64,12.6,Armillaria,2.29,1.92,9.26,3.44,0.2,0.26,0.36,0.27
Fraxinus americana,2,3,present,both,5.46,14.3,Armillaria,2.18,0.34,10.78,2,0.06,0.18,0.66,0.19
Fraxinus americana,6,3,absent,both,5.9,13.6,Armillaria,1.72,6.76,8.28,4.58,0.33,0.6,0.84,0.55
Fraxinus americana,6,3,present,bottom,1.03,11.4,Armillaria,3.56,0.14,13.28,1.89,0.35,0.6,0.93,0.58
Fraxinus americana,7,3,absent,both,13.6,26,Armillaria,2.83,3.67,12.75,5.1,0.32,0.68,1.56,0.7
Fraxinus americana,7,3,present,bottom,10.11,29.6,Fomes fomentarius,10.41,21.26,47.24,21.87,0.36,1.28,4.62,1.29
Juglans nigra,2,3,absent,both,2.33,19.9,Hyphodontia,4.29,13.38,13.62,9.21,1.2,0.99,1.77,1.28
Juglans nigra,2,3,present,both,7.9,27.2,Hyphoderma,5.64,6.28,12.45,7.61,1.39,3.7,6.46,3.21
Juglans nigra,6,3,absent,bottom,15.96,26.2,Hyphoderma,2.67,5.63,18.82,6.57,0.44,1.9,4.68,1.58
Juglans nigra,6,3,present,bottom,7.72,20.2,Laetiporus conifericola ,2.29,20.28,7.6,7.07,1.08,3.31,6,2.78
Juglans nigra,7,3,absent,bottom,16.48,36.6,Lentinus crinitus ,3.47,9.3,16.01,8.02,1.64,3.06,6.17,3.14
Juglans nigra,7,3,present,both,15.6,31.5,Mycoacia meridionalis ,2.16,5.67,7.96,4.6,0.36,1.1,1.6,0.86
Juniperus virginiana,2,3,present,bottom,6.83,4.1*,Merulius tremullosus ,22.78,32.27,53.5,34.01,3.3,5.85,8.67,5.51
Lonicera maackii,2,3,absent,both,10.84,25.2,Merulius tremellosus ,13.52,15.95,43.91,21.15,3.4,6.5,8.33,5.69
Lonicera maackii,2,3,present,top,3.31,21.1,Phlebiopsis flavidoalba ,11.18,18.52,27.94,17.95,2.28,5.7,8.41,4.78
Lonicera maackii,6,3,absent,bottom,15.36,23.3,Phlebiopsis flavidoalba ,6.4,8.89,25.93,11.38,3.04,7.4,10.57,6.2
Lonicera maackii,6,3,present,both,2.49,15.2,Phellinus gilvus ,5.15,19.47,42.09,16.16,1.4,1.53,3.7,1.99
Lonicera maackii,7,3,absent,both,15.66,28.2,Phellinus hartigii ,2.3,12.86,17.39,8.01,0.49,1.26,0.94,0.83
Lonicera maackii,7,3,present,both,3.29,18.2,Porodisculus pendulus ,2.61,2.43,4.36,3.02,0.95,1.25,2.9,1.51
Pinus echinata,2,3,absent,bottom,1.26,27.7,Phellinus robiniae,3.68,4.52,8.28,5.17,0.4,1.52,3.32,1.26
Quercus alba,2,3,absent,both,12.08,46.9,Phellinus robiniae ,2.22,6.12,26.29,7.1,0.39,1.24,2.84,1.11
Quercus alba,2,3,present,both,6.2,27.3,Phlebia acerina ,11.88,24.59,16.18,16.78,3.7,7.4,8.27,6.1
Quercus alba,6,3,absent,both,13.3,46.2,Phlebia acerina ,5.97,21.1,73.39,20.98,3.7,7.4,8.23,6.09
Quercus alba,6,3,present,both,10.88,44.5,Pycnoporus sanguineus ,4.44,18.3,37.43,14.49,0.81,3.21,7.26,2.66
Quercus alba,7,3,absent,both,16.4,59.2,Schizophyllum commune ,3.92,2.02,12.69,4.65,1.88,3.32,7.4,3.59
Quercus alba,7,3,present,both,6.95,29,Schizophyllum commune ,2.55,3.32,6.87,3.88,1.06,1.64,4.6,2
Quercus velutina,2,3,absent,both,1.98,25.3,Tyromyces chioneus ,5.35,16.74,29.06,13.75,1.92,3.37,5.67,3.32
Quercus velutina,2,3,present,both,8.21,32.4,Xylobolus subpileatus ,2.17,7.45,8.55,5.17,0.74,1,1.04,0.92
Quercus velutina,6,3,absent,both,2.05,27.9,,,,,,,,,
Quercus velutina,6,3,present,bottom,8.79,37,,,,,,,,,
Quercus velutina,7,3,absent,bottom,15.86,53.2,,,,,,,,,
Quercus velutina,7,3,present,both,9.06,45.2,,,,,,,,,
Acer rubrum,2,5,absent,bottom,16.03,80.2,,,,,,,,,
Aesculus glabra,2,5,absent,both,15.57,81.9,,,,,,,,,
Aesculus glabra,6,5,absent,both,14.38,81.5,,,,,,,,,
Aesculus glabra,7,5,absent,both,6.65,80.1,,,,,,,,,
Amelanchier arborea,2,5,absent,top,0.22,57.3,,,,,,,,,
Amelanchier arborea,6,5,absent,top,7.13,81.5,,,,,,,,,
Amelanchier arborea,7,5,absent,neither,7.82,97.5,,,,,,,,,
Asimina triloba,2,5,absent,both,4.69,46.1,,,,,,,,,
Asimina triloba,6,5,absent,bottom,15.86,67.6,,,,,,,,,
Asimina triloba,7,5,absent,top,2.66,79,,,,,,,,,
Carya tomentosa,6,5,absent,both,14.33,56.9,,,,,,,,,
Carya tomentosa,7,5,absent,bottom,15.41,68.8,,,,,,,,,
Celtis occidentalis,2,5,absent,top,1.45,60.4,,,,,,,,,
Celtis occidentalis,6,5,absent,both,1.08,69.9,,,,,,,,,
Cornus florida,2,5,absent,top,3.38,47.8,,,,,,,,,
Cornus florida,6,5,absent,top,0.26,54.5,,,,,,,,,
Cornus florida,7,5,absent,bottom,1.34,68.5,,,,,,,,,
Diospyros virginiana,2,5,absent,top,1.94,67,,,,,,,,,
Diospyros virginiana,6,5,absent,top,15.09,84.7,,,,,,,,,
Diospyros virginiana,7,5,absent,top,15.19,84.6,,,,,,,,,
Gleditsia triacanthos,2,5,absent,both,7.49,58.8,,,,,,,,,
Gleditsia triacanthos,6,5,absent,both,0.09,62.1,,,,,,,,,
Juniperus virginiana,2,5,absent,bottom,0.02,37.9,,,,,,,,,
Juniperus virginiana,6,5,absent,bottom,0.64,27.6,,,,,,,,,
Juniperus virginiana,7,5,absent,bottom,6.29,32.1,,,,,,,,,
Pinus strobus,6,5,absent,both,5.33,50.7,,,,,,,,,
Platanus occidentalis,2,5,absent,both,3.18,69.1,,,,,,,,,
Platanus occidentalis,6,5,absent,bottom,0.43,81.8,,,,,,,,,
Platanus occidentalis,7,5,absent,both,2.26,62.8,,,,,,,,,
Quercus velutina,2,5,absent,top,0.06,54.5,,,,,,,,,
Quercus velutina,6,5,absent,bottom,0.48,67.4,,,,,,,,,
Quercus velutina,7,5,absent,bottom,1.9,63.2,,,,,,,,,
Ulmus rubra,2,5,absent,bottom,0.34,54.3,,,,,,,,,
Ulmus rubra,6,5,absent,both,0.26,44.5,,,,,,,,,
Ulmus rubra,7,5,absent,both,2.69,74.2,,,,,,,,,
Vitis vulpina,6,5,absent,both,1.82,66.3,,,,,,,,,
